Name,PPG,top12,top12b,College,Position,DraftSpot,Age,Birthdate,HT,WT,40,VERT,Bench,Broad,3Cone,Shuttle,SpeedScore,BMI,Season1,Season2,Season3,Season4,Season5,YPC1,YPC2,YPC3,YPC4,YPC5,BestYPC,CAR1,CAR2,CAR3,CAR4,CAR5,BestCAR,RCMS1,RCMS2,RCMS3,RCMS4,RCMS5,BestRCMS,RTDMS1,RTDMS2,RTDMS3,RTDMS4,RTDMS5,BestRTDMS,RY1,RY2,RY3,RY4,RY5,RYMS1,RYMS2,RYMS3,RYMS4,RYMS5,BestRYMS,Breakout Age,YPrec1,YPrec2,YPrec3,YPrec4,YPrec5,BestYPrec,RecYDMS1,RecYDMS2,RecYDMS3,RecYDMS4,RecYDMS5,BestRecYDMS,RecTDMS1,RecTDMS2,RecTDMS3,RecTDMS4,RecTDMS5,BestRecTDMS,DOM1,DOM2,DOM3,DOM4,DOM5,BestDOM,BKRY,BKRN,BPRY,BPRN,BKMS,"BPMS
"
Tyler Eifert,Notre Dame,10.12758620689655,1,1,TE,21,0,0,77.0,250.0,4.68,35.5,22.0,119.0,6.92,4.32,104.22852504553892,29.642435486591328,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.980821424657734,13.0,12.0,13.0,0,0,13.0,0.11980939414567733,0.32365981459089077,0.309115523465704,0,0,0.32365981459089077,0.07692307692307693,0.3125,0.4,0,0,0.4,0,0,0.11980939414567733,0.32365981459089077,0.309115523465704,0.32365981459089077,0,0,0,0,0,"
"
Zach Ertz,Stanford,8.96595744680851,1,1,TE,35,0,0,77.0,249.0,4.76,30.5,24.0,111.0,7.08,4.47,97.0066555473176,29.523865744644965,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.808219424657636,11.0,12.0,13.0,0,0,13.0,0.059786028949024544,0.10558437595361611,0.4713910761154856,0,0,0.4713910761154856,0.18518518518518517,0.11764705882352941,0.46153846153846156,0,0,0.46153846153846156,0,0,0.059786028949024544,0.10558437595361611,0.4713910761154856,0.4713910761154856,0,0,0,0,0,"
"
Gavin Escobar,San Diego State,2.0934782608695657,0,0,TE,47,0,0,78.0,254.0,4.84,32.0,0,114.0,7.07,4.31,92.57255826036898,29.349441157133466,0,2007,2008,2009,2010,3.0,0,0,0,0,3.0,2.0,0,0,0,0,2.0,0.003552397868561279,0,0,0,0,0.003552397868561279,0.0,0,0,0,0,0,7.0,0,0,0,0,0.002393162393162393,0,0,0,0,0.002393162393162393,20.57534242465772,11.0,15.0,12.0,0,0,15.0,0.09183963605345465,0.3280067283431455,0.31099656357388317,0,0,0.3280067283431455,0.16666666666666666,0.4375,0.4,0,0,0.4375,0,0,0.09183963605345465,0.3280067283431455,0.31099656357388317,0.3280067283431455,11.0,1.0,0,0.024390243902439025,0,"
"
Vance McDonald,Rice,2.7972972972972974,0,0,TE,55,0,0,76.0,267.0,4.69,33.5,31.0,119.0,7.08,4.53,110.36970612158515,32.496710526315795,0,2007,2008,2009,2010,6.0,13.0,6.0,0,0,13.0,3.0,1.0,3.0,0,0,3.0,0.006122448979591836,0.0021691973969631237,0.004885993485342019,0,0,0.006122448979591836,0.0,0.0,0.0,0,0,0,19.0,13.0,20.0,0,0,0.009870129870129871,0.006981740064446832,0.0074962518740629685,0,0,0.009870129870129871,21.219178424657684,9.0,14.0,12.0,12.0,0,14.0,0.05291479820627803,0.18032786885245902,0.29086932750136685,0.18505050505050505,0,0.29086932750136685,0.0,0.6666666666666666,0.5,0.11764705882352941,0,0.6666666666666666,0,0.05291479820627803,0.18032786885245902,0.29086932750136685,0.18505050505050505,0.29086932750136685,0,0,0,0,0,"
"
Travis Kelce,Cincinnati,10.99090909090909,2,1,TE,63,0,0,77.0,255.0,4.63,0,0,0,0,0,110.98038115215739,30.235284196323157,0,2007,2008,2009,2010,5.0,0,0,0,0,5.0,8.0,0,0,0,0,8.0,0.023054755043227664,0,0,0,0,0.023054755043227664,0.08695652173913043,0,0,0,0,0.08695652173913043,47.0,0,0,0,0,0.025515743756786103,0,0,0,0,0.025515743756786103,22.906849424657594,3.0,11.0,16.0,0,0,16.0,0.0007479431563201197,0.05889281507656066,0.3029794376835921,0,0,0.3029794376835921,0.0,0.1111111111111111,0.47058823529411764,0,0,0.47058823529411764,0,0,0.0007479431563201197,0.05889281507656066,0.3029794376835921,0.3029794376835921,13.0,1.0,0,0.020833333333333332,0,"
"
Jordan Reed,Florida,13.335294117647058,1,1,TE,85,0,0,74.0,236.0,4.72,0,16.0,0,0,0,95.09857385613915,30.2972972972973,0,2007,2008,2009,2010,4.0,0,0,0,0,4.0,77.0,0,0,0,0,77.0,0.03251689189189189,0,0,0,0,0.03251689189189189,0.04504504504504504,0,0,0,0,0.04504504504504504,328.0,0,0,0,0,0.03097554065539711,0,0,0,0,0.03097554065539711,0,13.0,11.0,12.0,0,0,13.0,0.006271334444709058,0.024112472510210495,0.041847581973349306,0,0,0.041847581973349306,0.012345679012345678,0.027777777777777776,0.03614457831325301,0,0,0.03614457831325301,0,0,0.006271334444709058,0.024112472510210495,0.041847581973349306,0.041847581973349306,35.0,1.0,0,0.004878048780487805,0,"
"
Dion Sims,Michigan State,2.7214285714285715,0,0,TE,106,0,0,77.0,262.0,4.75,35.0,22.0,112.0,7.36,4.52,102.93352567890057,31.065272389947715,0,2007,2008,2009,2010,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0.002457002457002457,0,0,0,0,0.002457002457002457,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,21.534246424657567,12.0,8.0,13.0,0,0,13.0,0.039477589789254974,0.028812572759022118,0.21073646850044367,0,0,0.21073646850044367,0.12,0.13043478260869565,0.16666666666666666,0,0,0.16666666666666666,0,0,0.039477589789254974,0.028812572759022118,0.21073646850044367,0.21073646850044367,0,2.0,0,0.05128205128205128,0,"
"
Levine Toilolo,Stanford,2.18125,0,0,TE,133,0,0,80.0,260.0,4.86,31.0,17.0,113.0,7.09,4.57,93.20908970075433,28.559375,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,13.0,16.0,0,0,27.0,0.008081412750673452,0.10457317073170731,0.16307053941908714,0,0,0.16307053941908714,0.0,0.1875,0.26666666666666666,0,0,0.26666666666666666,0,0,0.008081412750673452,0.10457317073170731,0.16307053941908714,0.16307053941908714,0,0,0,0,0,"
"
Luke Willson,Rice,3.86,0,0,TE,158,0,0,0.0,0,0,0,0,0,0,0,NA,0,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,12.0,10.0,14.0,0,17.0,0.05480682839173405,0.1961236732810337,0.15283203125,0.04488778054862843,0,0.1961236732810337,0.07692307692307693,0.17647058823529413,0.25,0.11764705882352941,0,0.25,0,0.05480682839173405,0.1961236732810337,0.15283203125,0.04488778054862843,0.1961236732810337,0,0,0,0,0,"
"
Nick Kasa,Colorado,0.49375,0,0,TE,172,0,0,78.0,269.0,4.71,31.5,22.0,113.0,0,0,109.31975435568916,31.08267587113741,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,15.0,0,0,0,15.0,0.0015094339622641509,0.0880234128770824,0,0,0,0.0880234128770824,0.0,0.12,0,0,0,0.12,0,0,0,0.0015094339622641509,0.0880234128770824,0.0880234128770824,0,0,0,0,0,"
"
Mychal Rivera,Tennessee,6.29375,0,0,TE,184,0,0,75.0,242.0,4.81,31.0,17.0,112.0,7.17,4.43,90.42011522839046,30.244622222222226,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,11.0,15.0,0,0,15.0,0.019711369236184443,0.06456456456456457,0.09644757164921915,0,0,0.09644757164921915,0.0,0.02631578947368421,0.10869565217391304,0,0,0.10869565217391304,0,0,0.019711369236184443,0.06456456456456457,0.09644757164921915,0.09644757164921915,7.0,2.0,0,0.02127659574468085,0,"
"
Ryan Griffin,Connecticut,3.29,0,0,TE,201,0,0,0.0,0,0,0,0,0,0,0,NA,0,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.63835642465756,11.0,7.0,15.0,16.0,0,16.0,0.10696028313016123,0.14252472367655614,0.27163854109961894,0.2126537785588752,0,0.27163854109961894,0.0,0.1111111111111111,0.2727272727272727,1.5,0,1.5,0,0.10696028313016123,0.14252472367655614,0.27163854109961894,0.2126537785588752,0.27163854109961894,0,0,0,0,0,"
"
Michael Williams,Alabama,0.3733333333333333,0,0,TE,211,0,0,0.0,0,0,0,0,0,0,0,NA,0,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,12.0,11.0,7.0,0,12.0,0.011145272867025366,0.030349013657056147,0.07329240214888719,0.032684407929987495,0,0.07329240214888719,0.0,0.043478260869565216,0.14285714285714285,0.09302325581395349,0,0.14285714285714285,0,0.011145272867025366,0.030349013657056147,0.07329240214888719,0.032684407929987495,0.07329240214888719,22.0,2.0,0,0.09523809523809523,0,"
"
D.C. Jefferson,Rutgers,0.0,0,0,TE,219,0,0,78.0,255.0,4.97,0,3.0,0,0,0,83.58813224923179,29.464990138067062,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,16.0,9.0,8.0,0,21.0,0.045207199665131856,0.07678075855689177,0.0390987408880053,0.06606370428627605,0,0.07678075855689177,0.0,0.06666666666666667,0.0,0.045454545454545456,0,0.06666666666666667,0,0.045207199665131856,0.07678075855689177,0.0390987408880053,0.06606370428627605,0.07678075855689177,0,0,0,0,0,"
"
Chris Gragg,Arkansas,1.909375,0,0,TE,222,0,0,75.0,244.0,4.5,37.5,18.0,125.0,7.08,4.51,119.00624904740131,30.494577777777778,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,21.0,12.0,13.0,0,25.0,0.004598123965422108,0.023687491342291176,0.07556528081692196,0.043037974683544304,0,0.07556528081692196,0.0,0.03508771929824561,0.047619047619047616,0.06666666666666667,0,0.06666666666666667,0,0.004598123965422108,0.023687491342291176,0.07556528081692196,0.043037974683544304,0.07556528081692196,0,0,0,0,0,"
"
Justice Cunningham,South Carolina,0.35,1,1,TE,254,0,0,75.0,258.0,4.94,31.5,0,116.0,7.12,4.45,86.64468076385434,32.24426666666667,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,13.0,7.0,14.0,0,14.0,0.007884813164209805,0.028342575477510783,0.06405051871898963,0.11692529772645255,0,0.11692529772645255,0.0,0.0,0.05555555555555555,0.0,0,0.05555555555555555,0,0.007884813164209805,0.028342575477510783,0.06405051871898963,0.11692529772645255,0.11692529772645255,12.0,2.0,0,0.03773584905660377,0,"
"
