Name,College,PPRPPG,logPPRPPG,Position,DraftSpot,top20,Age,Birthdate,HT,WT,40,VERT,Bench,Broad,3Cone,Shuttle,SpeedScore,BMI,Season1,Season2,Season3,Season4,Season5,YPC1,YPC2,YPC3,YPC4,YPC5,BestYPC,CAR1,CAR2,CAR3,CAR4,CAR5,BestCAR,RCMS1,RCMS2,RCMS3,RCMS4,RCMS5,BestRCMS,RTDMS1,RTDMS2,RTDMS3,RTDMS4,RTDMS5,BestRTDMS,RY1,RY2,RY3,RY4,RY5,RYMS1,RYMS2,RYMS3,RYMS4,RYMS5,BestRYMS,Breakout Age,YPrec1,YPrec2,YPrec3,YPrec4,YPrec5,BestYPrec,RecYDMS1,RecYDMS2,RecYDMS3,RecYDMS4,RecYDMS5,BestRecYDMS,RecTDMS1,RecTDMS2,RecTDMS3,RecTDMS4,RecTDMS5,BestRecTDMS,DOM1,DOM2,DOM3,DOM4,DOM5,BestDOM,BKRY,BKRN,BPRY,BPRN,BKMS,"BPMS
",,,,,,,,
Kerryon Johnson,Auburn,12.46666667,1.095750348,RB,43,0,21.17260242,1997.493151,71,213,4.56,40,11,126,7.07,4.29,98.52585866,29.70422535,0,2006,2006,2006,2006,4,4,4,0,0,4,52,182,285,0,0,285,0.089810017,0.282170543,0.443925234,0,0,0.443925234,0.107142857,0.333333333,0.529411765,0,0,0.529411765,208,895,1391,0,0,0.079938509,0.251616531,0.453242098,0,0,0.453242098,20.17260242,11,7,8,0,0,11,0.075678248,0.060067275,0.063130491,0,0,0.075678248,0,0,0.105263158,0,0,0.105263158,0.070522675,0.143379252,0.258227436,0,0,0.258227436,386,14,0,1.090909091,0,,,,,,,,,
Jeremy Hill,LSU,11.8191489,1.072586204,RB,55,1,21.1,1992.8,73,233,4.56,29,20,113,7.64,4.59,107.777113,30.7372865,2007,2007,2008,2008,2009,5,6,0,0,0,6,142,203,0,0,0,203,0.27307692,0.40277778,0,0,0,0.40277778,0.4137931,0.43243243,0,0,0,0.43243243,755,1401,0,0,0,0.30406766,0.50053591,0,0,0,0.50053591,0,9,10,0,0,0,10,0.02878549,0.0587281,0,0,0,0.0587281,0,0,0,0,0,0,0.01469996,0.03233298,0,0,0,0.03233298,0,0,0,0,0,,,,,,,,,
James Conner,Pittsburgh,11.78108108,1.071185145,RB,105,1,22.32602742,1995.339726,73,233,4.65,29,20,113,7.14,4.4,99.67221397,30.73728655,0,2006,2006,2006,2006,5,5,9,5,0,9,146,298,8,216,0,298,0.33106576,0.5,0.015968064,0.398523985,0,0.5,0.4,0.742857143,0.105263158,0.444444444,0,0.742857143,799,1765,77,1092,0,0.424548353,0.535660091,0.031300813,0.367058824,0,0.535660091,18.32602742,11,14,7,14,0,14,0.010851694,0.029825309,0.00283057,0.117054264,0,0.117054264,0,0,0,0.166666667,0,0.166666667,0.221041445,0.2784522,0.017073171,0.234285714,0,0.2784522,0,0,0,0,0,,,,,,,,,
Derrius Guice,LSU,11.48,1.059941888,RB,59,0,21.32,1997.5,70.5,224,4.49,31.5,15,NA,NA,NA,110.2281834,32.1371429,2007,2007,2008,2008,2009,8,7,5,0,0,8,51,183,237,0,0,237,0.10282258,0.39869281,0.42095915,0,0,0.42095915,0.08333333,0.5,0.44,0,0,0.5,436,1387,1251,0,0,0.14073596,0.49114731,0.4592511,0,0,0.49114731,0,4,11,6,0,0,11,0.00931966,0.04873563,0.04914784,0,0,0.04914784,0,0.09090909,0.13333333,0,0,0.13333333,0.00322789,0.01876771,0.02276065,0,0,0.02276065,472,21,0,1.4,0,,,,,,,,,
Marlon Mack,South Florida,11.4175,1.05757102,RB,143,1,21.48767142,1996.178082,71,213,4.5,35.5,15,125,NA,NA,103.8866027,29.70422535,0,2006,2006,2006,2006,5,6,6,0,0,6,202,210,174,0,0,210,0.556473829,0.360824742,0.305263158,0,0,0.556473829,0.818181818,0.285714286,0.319148936,0,0,0.818181818,1041,1381,1187,0,0,0.719419489,0.420267803,0.317974819,0,0,0.719419489,18.48767142,7,6,8,0,0,8,0.07269423,0.045773196,0.081042485,0,0,0.081042485,0,0.04,0,0,0,0.04,0.414996545,0.227023737,0.18939191,0,0,0.414996545,0,0,0,0,0,,,,,,,,,
Karlos Williams,Florida State,11.3,1.053078443,RB,155,,22.32876742,1993.336986,73,230,4.48,33.5,16,117,7.16,4.46,114.1946547,30.34152749,0,2006,2006,2006,2006,8,4,0,0,0,8,91,150,0,0,0,150,0.182,0.341685649,0,0,0,0.341685649,0.261904762,0.407407407,0,0,0,0.407407407,730,689,0,0,0,0.251984812,0.343469591,0,0,0,0.343469591,21.32876742,7,9,0,0,0,9,0.014449541,0.069082377,0,0,0,0.069082377,0,0.04,0,0,0,0.04,0.136865723,0.23778664,0,0,0,0.23778664,340,13,0,0.722222222,0,,,,,,,,,
Andre Ellington,Clemson,11.28378378,1.052454756,RB,187,1,24.57534242,1989.090411,69,199,4.61,34,NA,122,NA,NA,88.12099059,29.38395295,0,2006,2006,2006,2006,7,5,5,5,0,7,68,118,223,212,0,223,0.141372141,0.263982103,0.429672447,0.365517241,0,0.429672447,0.166666667,0.526315789,0.5,0.307692308,0,0.526315789,491,686,1178,1081,0,0.201725555,0.372623574,0.518942731,0.431192661,0,0.518942731,21.57534242,5,9,5,16,0,16,0.02088872,0.044782251,0.028348505,0.05874905,0,0.05874905,0,0.0625,0,0.025641026,0,0.0625,0.112161052,0.215915263,0.283480176,0.261866773,0,0.283480176,238,8,3,0.296296296,0.024390244,,,,,,,,,
Trent Richardson,Alabama,11.24782609,1.051068593,RB,3,1,22.14520542,1990.520548,69,228,4.48,4.56,NA,NA,NA,NA,113.2016577,33.66603655,0,2006,2006,2006,2006,5,6,5,0,0,6,145,112,283,0,0,283,0.247018739,0.242424242,0.568273092,0,0,0.568273092,0.258064516,0.2,0.617647059,0,0,0.617647059,751,700,1679,0,0,0.242571059,0.290577003,0.589950808,0,0,0.589950808,20.14520542,7,11,11,0,0,11,0.050299401,0.085011186,0.13745425,0,0,0.13745425,0,0.2,0.230769231,0,0,0.230769231,0.141634367,0.200498132,0.354356992,0,0,0.354356992,634,25,0,1.5625,0.022727273,,,,,,,,,
Mikel Leshoure,Illinois,10.82941176,1.034604867,RB,57,1,21.42465742,1990.241096,73,227,4.56,38,21,122,6.82,4.4,105.0017367,29.94576844,0,2008,2008,2008,2008,3,6,6,0,0,6,35,108,281,0,0,281,0.037037037,0.105986261,0.236731255,0,0,0.236731255,0.025641026,0.102040816,0.23943662,0,0,0.23943662,126,734,1697,0,0,0.029315961,0.147005808,0.246013337,0,0,0.246013337,0,11,12,11,0,0,12,0.012408347,0.043265705,0.044283778,0,0,0.044283778,0,0.074074074,0.078947368,0,0,0.078947368,0.02233597,0.091227719,0.137213685,0,0,0.137213685,0,0,0,0,0,,,,,,,,,
T.J. Yeldon,Alabama,10.30540541,1.013065081,RB,36,0,21.91506842,1993.750685,73,226,4.61,36,22,117,7.19,4.22,100.0771049,29.81384875,0,2006,2006,2006,2006,6,6,5,0,0,6,175,207,194,0,0,207,0.166666667,0.223300971,0.177330896,0,0,0.223300971,0.255319149,0.264150943,0.215686275,0,0,0.264150943,1108,1235,979,0,0,0.230162027,0.255958549,0.185874312,0,0,0.255958549,0,11,9,12,0,0,12,0.023181738,0.030098684,0.02869898,0,0,0.030098684,0.02173913,0,0.020833333,0,0,0.02173913,0.128687162,0.146943005,0.110024682,0,0,0.146943005,0,0,0,0,0,,,,,,,,,
