Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Leonard Pope,TE,Georgia,College Stats,6-8,258,4.62,37.5,22,118,7.47,4.67,Arizona Cardinals / 3rd / 72nd pick / 2006
Quinton Porter,QB,Boston Col.,College Stats,6-5,233,4.67,33.5,,116,6.76,4.1,
Donovan Raiola,C,Wisconsin,,6-2,300,5.55,25,20,90,8.17,4.97,
Troy Reddick,OG,Auburn,,6-5,334,5.57,,21,,7.92,4.82,
Willie Reid,WR,Florida State,College Stats,5-10,188,4.34,37.5,,117,7.06,4.26,Pittsburgh Steelers / 3rd / 95th pick / 2006
Matthew Rice,DE,Penn State,,6-4,271,4.89,,,,7.6,4.34,
Gerald Riggs,RB,Tennessee,College Stats,5-11,232,4.62,,,,,,
Freddie Roach,ILB,Alabama,College Stats,6-2,257,4.93,34,,111,7.49,4.42,
Michael Robinson,WR,Penn State,College Stats,6-1,227,4.57,,,,,,San Francisco 49ers / 4th / 100th pick / 2006
Dale Robinson,ILB,Arizona State,College Stats,6-0,231,4.76,33,18,108,7.29,4.3,
Cory Rodgers,WR,TCU,College Stats,6-0,188,4.58,33.5,,110,7.37,4.19,Green Bay Packers / 4th / 104th pick / 2006
Dennis Roland,OT,Georgia,,6-10,328,5.28,,19,,,,
Richie Ross,WR,Nebraska-Kearney,,6-4,209,4.61,37,,120,6.95,4.29,
Pat Ross,C,Boston Col.,,6-3,301,4.99,,23,,,,
Derrick Ross,RB,Tarleton State,,5-10,226,4.56,35,20,112,7,4.35,
Cory Ross,RB,Nebraska,College Stats,5-6,201,4.58,,15,,,,
Frostee Rucker,DE,USC,College Stats,6-3,267,4.88,29.5,,110,,,Cincinnati Bengals / 3rd / 91st pick / 2006
DeMeco Ryans,OLB,Alabama,College Stats,6-1,236,4.65,39,23,129,7.19,4.17,Houston Texans / 2nd / 33rd pick / 2006
Nate Salley,S,Ohio State,College Stats,6-2,216,4.63,40,14,123,6.79,4.15,Carolina Panthers / 4th / 121st pick / 2006
Tony Scheffler,TE,West. Michigan,College Stats,6-5,254,4.54,33.5,17,115,6.81,4.01,Denver Broncos / 2nd / 61st pick / 2006
Anthony Schlegel,ILB,Ohio State,College Stats,6-0,250,4.88,32,21,111,7.41,4.38,New York Jets / 3rd / 76th pick / 2006
Jon Scifres,K,Missouri State,,6-1,224,5,,,,,,
Jonathan Scott,OT,Texas,College Stats,6-6,315,5.32,24.5,,101,7.73,4.85,Detroit Lions / 5th / 141st pick / 2006
Mark Setterstrom,OG,Minnesota,,6-4,314,5.38,26.5,19,100,7.63,4.53,St. Louis Rams / 7th / 242nd pick / 2006
D.J. Shockley,QB,Georgia,College Stats,6-1,214,4.56,37.5,,121,7.07,4.17,Atlanta Falcons / 7th / 223rd pick / 2006
Kevin Simon,OLB,Tennessee,College Stats,5-10,235,4.89,28,26,103,7.69,4.32,Washington Redskins / 7th / 250th pick / 2006
Ko Simpson,S,South Carolina,College Stats,6-1,209,4.45,40.5,11,122,7.09,4.17,Buffalo Bills / 4th / 105th pick / 2006
Ernie Sims,OLB,Florida State,College Stats,5-11,231,4.5,41,25,125,7.31,4.22,Detroit Lions / 1st / 9th pick / 2006
Rob Sims,OG,Ohio State,,6-3,307,5.25,,27,,,,Seattle Seahawks / 4th / 128th pick / 2006
Dwayne Slay,S,Texas Tech,College Stats,6-3,216,4.78,32.5,,112,,,
Anthony Smith,S,Syracuse,College Stats,6-0,194,4.71,41,18,125,6.75,4.35,Pittsburgh Steelers / 3rd / 83rd pick / 2006
Brad Smith,WR,Missouri,College Stats,6-2,213,4.46,39.5,,128,7,4.33,New York Jets / 4th / 103rd pick / 2006
Eric Smith,S,Michigan State,College Stats,6-1,209,4.63,40,21,127,6.89,4.1,New York Jets / 3rd / 97th pick / 2006
Kent Smith,QB,Central Michigan,College Stats,6-5,216,4.57,35,,122,7.41,4.47,
LeKevin Smith,DT,Michigan State,,6-3,316,4.97,30.5,30,109,7.93,4.92,
Clinton Solomon,WR,Iowa,College Stats,6-3,214,4.58,33,,114,7.17,4.46,
Isaac Sowells,OG,Indiana,,6-3,324,5.15,28.5,20,101,8.13,4.98,Cleveland Browns / 4th / 112th pick / 2006
Charles Spencer,OG,Pittsburgh,,6-5,352,5.25,,30,,,,Houston Texans / 3rd / 65th pick / 2006
Jason Spitz,OG,Louisville,College Stats,6-3,313,5.4,28.5,25,102,7.82,4.55,Green Bay Packers / 3rd / 75th pick / 2006
Montavious Stanley,DT,Louisville,College Stats,6-2,313,5.12,29,,106,8.06,4.6,Dallas Cowboys / 6th / 182nd pick / 2006
Joel Stelly,P,La-Monroe,College Stats,5-10,197,4.68,,,,,,
Adam Stenavich,OG,Michigan,,6-4,310,5.6,,24,,,,
Dan Stevenson,OG,Notre Dame,,6-5,300,5.36,24.5,24,100,7.58,4.59,New England Patriots / 6th / 205th pick / 2006
Maurice Stovall,WR,Notre Dame,College Stats,6-4,217,4.57,35,,122,6.81,4.14,Tampa Bay Buccaneers / 3rd / 90th pick / 2006
Zach Strief,OT,Northwestern,College Stats,6-8,330,5.38,21,19,94,8.01,4.83,New Orleans Saints / 7th / 210th pick / 2006
Boone Stutz,LS,Texas A&M,College Stats,6-6,259,5.06,,,,,,
Quinn Sypniewski,TE,Colorado,College Stats,6-6,268,4.77,32.5,20,114,7.09,4.52,Baltimore Ravens / 5th / 166th pick / 2006
Naufahu Tahi,FB,BYU,College Stats,6-0,254,4.85,29,35,101,7.72,4.7,
Darryl Tapp,DE,Virginia Tech,College Stats,6-2,252,4.83,33,27,109,7.31,4.48,Seattle Seahawks / 2nd / 63rd pick / 2006
Gavin Tarquinio,LS,Georgia Tech,College Stats,6-3,253,4.88,,18,,,,
Tony Tella,OG,Miami (FL),,6-4,307,5.44,24.5,24,97,8.17,4.84,
David Thomas,TE,Texas,College Stats,6-3,252,4.67,37.5,19,113,7.05,4.34,New England Patriots / 3rd / 86th pick / 2006
Joe Toledo,OT,Washington,,6-5,337,5.11,,32,,,,Miami Dolphins / 4th / 114th pick / 2006
John Torp,P,Colorado,College Stats,6-2,212,4.73,,,,,,
Michael Toudouze,OT,TCU,,6-6,303,5.12,26.5,23,100,7.45,4.7,Indianapolis Colts / 5th / 162nd pick / 2006
Anthony Trucks,OLB,Oregon,College Stats,6-1,233,4.76,37,22,125,7,4.14,
Jeremy Trueblood,OT,Boston Col.,,6-8,316,5.25,27.5,20,96,7.82,4.68,Tampa Bay Buccaneers / 2nd / 59th pick / 2006
Stephen Tulloch,ILB,North Carolina State,College Stats,5-11,241,4.84,33.5,27,113,7.19,4.15,Tennessee Titans / 4th / 116th pick / 2006
Cameron Vaughn,OLB,LSU,College Stats,6-4,235,4.65,32,17,117,7.24,4.22,
Marcus Vick,QB,Virginia Tech,College Stats,6-0,200,4.47,36,,117,6.94,4.08,
Lawrence Vickers,FB,Colorado,College Stats,6-0,245,4.82,30.5,21,104,7.74,4.63,Cleveland Browns / 6th / 180th pick / 2006
Delanie Walker,WR,Central Missouri State,,6-1,240,4.49,36.5,,118,,,San Francisco 49ers / 6th / 175th pick / 2006
John Walker,CB,USC,College Stats,6-0,205,4.62,40,,125,,4.16,
Cooper Wallace,TE,Auburn,College Stats,6-4,261,4.78,29,21,105,7.29,4.21,
Scott Ware,S,USC,College Stats,6-1,218,4.7,37,15,115,7.05,4.25,
Leon Washington,RB,Florida State,College Stats,5-8,201,4.42,32.5,17,105,6.94,4.37,New York Jets / 4th / 117th pick / 2006
Pat Watkins,S,Florida State,College Stats,6-5,211,4.42,41,14,133,,,Dallas Cowboys / 5th / 138th pick / 2006
Todd Watkins,WR,BYU,College Stats,6-2,202,4.4,36,15,118,7.13,4.24,Arizona Cardinals / 7th / 218th pick / 2006
Gabe Watson,DT,Michigan,,6-3,339,5.27,25,36,96,8.28,4.8,Arizona Cardinals / 4th / 107th pick / 2006
Steve Weatherford,P,Illinois,College Stats,6-2,217,4.82,,,,,,
Dee Webb,CB,Florida,,5-11,183,4.41,36.5,,121,,,Jacksonville Jaguars / 7th / 236th pick / 2006
Jeff Webb,WR,San Diego State,College Stats,6-2,211,4.4,37,,126,6.81,4.08,Kansas City Chiefs / 6th / 190th pick / 2006
Stefon Wheeler,OT,Michigan State,College Stats,6-5,339,5.73,19.5,,74,8.09,4.86,
Guy Whimper,OT,East Carolina,College Stats,6-5,304,4.96,29,26,102,7.38,4.59,New York Giants / 4th / 129th pick / 2006
LenDale White,RB,USC,College Stats,6-0,238,4.49,,,,,,Tennessee Titans / 2nd / 45th pick / 2006
Terrence Whitehead,RB,Oregon,College Stats,5-10,209,4.69,30.5,,108,7.21,4.27,
Charlie Whitehurst,QB,Clemson,College Stats,6-5,223,4.75,33,,112,7,4.11,San Diego Chargers / 3rd / 81st pick / 2006
E.J. Whitley,OT,UNLV,College Stats,6-5,309,5.35,25,16,101,7.53,4.79,Dallas Cowboys / 7th / 224th pick / 2006
Donte Whitner,S,Ohio State,College Stats,5-10,204,4.4,40,18,132,,,Buffalo Bills / 1st / 8th pick / 2006
Andrew Whitworth,OT,LSU,,6-7,334,5.16,30.5,28,112,8.23,4.83,Cincinnati Bengals / 2nd / 55th pick / 2006
Gerris Wilkinson,ILB,Georgia Tech,College Stats,6-3,233,4.66,39,19,122,7.21,4.17,New York Giants / 3rd / 96th pick / 2006
Brandon Williams,WR,Wisconsin,College Stats,5-9,179,4.48,34.5,,115,6.87,4.07,San Francisco 49ers / 3rd / 84th pick / 2006
DeAngelo Williams,RB,Memphis,College Stats,5-9,214,4.45,35.5,25,121,,,Carolina Panthers / 1st / 27th pick / 2006
Demetrius Williams,WR,Oregon,College Stats,6-2,197,4.52,38,,127,6.84,4.08,Baltimore Ravens / 4th / 111th pick / 2006
Jamar Williams,OLB,Arizona State,College Stats,6-0,236,4.59,37,,120,7.03,4.29,Chicago Bears / 4th / 120th pick / 2006
Jimmy Williams,CB,Virginia Tech,College Stats,6-2,213,4.44,,,,,,Atlanta Falcons / 2nd / 37th pick / 2006
Leon Williams,ILB,Miami (FL),College Stats,6-3,245,4.54,,25,,,,Cleveland Browns / 4th / 110th pick / 2006
Mario Williams,DE,North Carolina State,College Stats,6-7,295,4.7,40.5,35,120,7.19,4.36,Houston Texans / 1st / 1st pick / 2006
T.J. Williams,TE,North Carolina State,College Stats,6-2,269,4.72,34,25,111,7.49,4.54,Tampa Bay Buccaneers / 6th / 202nd pick / 2006
Travis Wilson,WR,Oklahoma,College Stats,6-2,214,4.47,36.5,,120,6.7,3.99,Cleveland Browns / 3rd / 78th pick / 2006
Kamerion Wimbley,DE,Florida State,College Stats,6-4,248,4.61,38.5,24,129,6.97,4.48,Cleveland Browns / 1st / 13th pick / 2006
Eric Winston,OT,Miami (FL),College Stats,6-7,310,4.94,29,,108,7.47,4.44,Houston Texans / 3rd / 66th pick / 2006
Rodrique Wright,DT,Texas,College Stats,6-5,300,5.08,32,31,110,7.84,4.51,Miami Dolphins / 7th / 226th pick / 2006
Claude Wroten,DT,LSU,College Stats,6-2,302,5.08,,,,,,St. Louis Rams / 3rd / 68th pick / 2006
Justin Wyatt,CB,USC,College Stats,5-9,189,4.72,,14,,,,
James Wyche,DE,Syracuse,College Stats,6-5,262,4.63,33,27,116,7.75,4.51,Jacksonville Jaguars / 7th / 213th pick / 2006
Ashton Youboty,CB,Ohio State,College Stats,6-0,189,4.44,,,,,,Buffalo Bills / 3rd / 70th pick / 2006
Vince Young,QB,Texas,College Stats,6-5,229,4.48,,,,,,Tennessee Titans / 1st / 3rd pick / 2006
Alan Zemaitis,CB,Penn State,College Stats,6-1,194,4.57,,,,,,Tampa Bay Buccaneers / 4th / 122nd pick / 2006
