Name,College,Position,Age
Nick O'Leary,Florida State,TE,1992.663014
Malcolm Johnson,Mississippi State,TE,1992.608219
Randall Telfer,USC,TE,1992.369863
Bud Sasser,Missouri,WR,1992.40821
A.J. Derby,Arkansas,TE,1991.717808
Darren Waller,Georgia Tech,WR,1992.69863
Josh Robinson,Mississippi State,RB,1992.643836
Aaron Ripkowski,Oklahoma,RB,1992.967123
Kennard Backman,Alabama-Birmingham,TE,1993.153425
Neal Sterling,Monmouth,WR,1992.035616
Andre Debose,Florida,WR,1990.6986
Ben Koyack,Notre Dame,TE,1993.268493
Marcus Murphy,Missouri,RB,1991.753425
Joey Iosefa,Hawaii,RB,1991.463014
Da'Ron Brown,Northern Illinois,WR,1991.80274
Dezmin Lewis,Central Arkansas,WR,1992.926027
Kenny Hilliard,Louisiana State,RB,1991.830137
Mario Alford,West Virginia,WR,1992.150685
Tre McBride,William & Mary,WR,1992.915068
Geoff Swaim,Texas,TE,1993.706849
Trevor Siemian,Northwestern,QB,1991.983562
Rory 'Busta' Anderson,South Carolina,TE,1992.753424
Gerald Christian,Louisville,TE,1991.649315
Jared Goff,California,QB,1994.783562
Carson Wentz,North Dakota State,QB,1992.994521
Ezekiel Elliott,Ohio State,RB,1995.553425
Corey Coleman,Baylor,WR,1994.509589
Will Fuller,Notre Dame,WR,1994.287671
Josh Doctson,Texas Christian,WR,1992.920548
Laquon Treadwell,Mississippi,WR,1995.449315
Paxton Lynch,Memphis,QB,1994.115068
Hunter Henry,Arkansas,TE,1994.931507
Sterling Shepard,Oklahoma,WR,1993.109589
Derrick Henry,Alabama,RB,1994.008219
Michael Thomas,Ohio State,WR,1993.169863
Christian Hackenberg,Penn State,QB,1995.120548
Tyler Boyd,Pittsburgh,WR,1994.871233
Kenyan Drake,Alabama,RB,1994.068493
Austin Hooper,Stanford,TE,1994.824658
Braxton Miller,Ohio State,WR,1992.912329
Leonte Carroo,Rutgers,WR,1994.063014
C.J. Prosise,Notre Dame,RB,1994.380822
Jacoby Brissett,North Carolina State,QB,1992.942466
Cody Kessler,USC,QB,1993.356164
Nick Vannett,Ohio State,TE,1993.175342
Connor Cook,Michigan State,QB,1993.076712
Chris Moore,Cincinnati,WR,1993.454795
Tyler Higbee,Western Kentucky,TE,1993
Malcolm Mitchell,Georgia,WR,1992.547945
Ricardo Louis,Auburn,WR,1994.221918
Pharoh Cooper,South Carolina,WR,1995.178082
Tyler Ervin,San Jose State,RB,1993.767123
Demarcus Robinson,Florida,WR,1994.720548
Kenneth Dixon,Louisiana Tech,RB,1994.054795
Dak Prescott,Mississippi State,QB,1993.575
Seth Devalve,Princeton,TE,1993.076712
Cardale Jones,Ohio State,QB,1992.824658
Tajae Sharpe,Massachusetts,WR,1994.975342
Devontae Booker,Utah,RB,1992.4
DeAndre Washington,Texas Tech,RB,1993.142466
Paul Perkins,UCLA,RB,1994.873973
Jordan Howard,Indiana,RB,1994.835616
Wendell Smallwood,West Virginia,RB,1994.054795
Jonathan Williams,Arkansas,RB,1994.087671
Alex Collins,Arkansas,RB,1994.649315
Andy Janovich,Nebraska,RB,1993.389041
Keenan Reynolds,Navy,RB,1993.947945
Dan Vitale,Northwestern,RB,1993.816438
Derek Watt,Wisconsin,RB,1992.849315
Kelvin Taylor,Florida,RB,1993.739726
Darius Jackson,Eastern Michigan,RB,1993.915068
Dwayne Washington,Washington,RB,1994.309589
Daniel Lasco,California,RB,1992.769863
Keith Marshall,Georgia,RB,1994.126027
Zac Brooks,Clemson,RB,1993.084932
Leonard Fournette,Louisiana State,RB,1995.046575
Christian McCaffrey,Stanford,RB,1996.430137
Dalvin Cook,Florida State,RB,1995.605479
Joe Mixon,Oklahoma,RB,1996.558904
Alvin Kamara,Tennessee,RB,1995.561644
Kareem Hunt,Toledo,RB,1995.594521
D'Onta Foreman,Texas,RB,1996.309589
James Conner,Pittsburgh,RB,1995.339726
Samaje Perine,Oklahoma,RB,1995.706849
Tarik Cohen,North Carolina A&T,RB,1995.564384
Joe Williams,Utah,RB,1993.673973
Donnel Pumphrey,San Diego State,RB,1994.928767
Jamaal Williams,Brigham Young,RB,1995.252055
Wayne Gallman,Clemson,RB,1994.747945
Marlon Mack,South Florida,RB,1996.178082
Brian Hill,Wyoming,RB,1995.854795
Jeremy McNichols,Boise State,RB,1995.983562
T.J. Logan,North Carolina,RB,1994.671233
Aaron Jones,Texas-El Paso,RB,1994.917808
Elijah McGuire,Louisiana-Lafayette,RB,1994.416438
Alex Armah,West Georgia,RB,1994.372603
De'Angelo Henderson,Coastal Carolina,RB,1992.89589
Sam Rogers,Virginia Tech,RB,1995.276712
Brandon Wilson,Houston,RB,1994.567123
Devante Mays,Utah State,RB,1994.39726
Marquez Williams,Miami (OH),RB,1994.536986
Khalfani Muhammad,California,RB,1994.734247
Elijah Hood,North Carolina,RB,1996.30411
Chris Carson,Oklahoma State,RB,1994.709589
Matthew Dayes,North Carolina State,RB,1994.67397
Saquon Barkley,Penn State,RB,1997.106849
Rashaad Penny,San Diego State,RB,1996.087671
Sony Michel,Georgia,RB,1995.128767
Nick Chubb,Georgia,RB,1995.986301
Ronald Jones,USC,RB,1997.586301
Kerryon Johnson,Auburn,RB,1997.493151
Derrius Guice,Louisiana State,RB,1997.468493
Royce Freeman,Oregon,RB,1996.147945
Nyheim Hines,North Carolina State,RB,1996.863014
Mark Walton,Miami (FL),RB,1997.238356
Ito Smith,Southern Mississippi,RB,1995.693151
Kalen Ballage,Arizona State,RB,1995.972603
Chase Edmonds,Fordham,RB,1996.279452
Jordan Wilkins,Mississippi,RB,1994.542466
John Kelly,Tennessee,RB,1996.756164
Boston Scott,Louisiana Tech,RB,1995.317808
Trenton Cannon,Virginia State,RB,1994.556164
David Williams,Arkansas,RB,1994.457534
Bo Scarbrough,Alabama,RB,1994.742466
Nick Bawdon,San Diego State,RB,1996.47397
Justin Jackson,Northwestern,RB,1996.30411
Kevin Hogan,Stanford,QB,1992.8
Nate Sudfeld,Indiana,QB,1993.764384
Jake Rudock,Michigan,QB,1993.054795
Brandon Allen,Arkansas,QB,1992.676712
Jeff Driskel,Louisiana Tech,QB,1993.306849
Brandon Doughty,Western Kentucky,QB,1991.761644
Mitchell Trubisky,North Carolina,QB,1994.632877
Patrick Mahomes,Texas Tech,QB,1995.709589
Deshaun Watson,Clemson,QB,1995.70137
DeShone Kizer,Notre Dame,QB,1996.008
Davis Webb,California,QB,1995.057534
C.J. Beathard,Iowa,QB,1993.873973
Joshua Dobbs,Tennessee,QB,1995.068493
Nathan Peterman,Pittsburgh,QB,1994.336986
Brad Kaaya,Miami (FL),QB,1995.671233
Chad Kelly,Mississippi,QB,1994.230137
Baker Mayfield,Oklahoma,QB,1995.282192
Sam Darnold,USC,QB,1997.424658
Josh Allen,Wyoming,QB,1996.383562
Josh Rosen,UCLA,QB,1997.109589
Lamar Jackson,Louisville,QB,1997.016438
Mason Rudolph,Oklahoma State,QB,1995.539726
Kyle Lauletta,Richmond,QB,1995.205479
Mike White,Western Kentucky,QB,1995.227397
Luke Falk,Washington State,QB,1994.989041
Tanner Lee,Nebraska,QB,1995.120548
Danny Etling,Louisiana State,QB,1994.553425
Alex McGough,Florida International,QB,1995.882192
Logan Woodside,Toledo,QB,1995.071233
Temarrick Hemingway,South Carolina State,TE,1993.575342
Jerell Adams,South Carolina,TE,1992.99726
David Morgan,Texas-San Antonio,TE,1993.378082
Rico Gathers,Baylor,TE,1994.016438
Thomas Duarte,UCLA,TE,1995.241096
Beau Sandland,Montana State,TE,1993.1479
O.J. Howard,Alabama,TE,1994.879452
Evan Engram,Mississippi,TE,1994.668493
David Njoku,Miami (FL),TE,1996.520548
Gerald Everett,South Alabama,TE,1994.479452
Adam Shaheen,Ashland,TE,1994.810959
Jonnu Smith,Florida International,TE,1995.638356
Michael Roberts,Toledo,TE,1994.345205
Jake Butt,Michigan,TE,1995.523288
George Kittle,Iowa,TE,1993.769863
Jordan Leggett,Clemson,TE,1995.082192
Jeremy Sprinkle,Arkansas,TE,1994.605479
Eric Saubert,Drake,TE,1994.328767
Bucky Hodges,Virginia Tech,TE,1995.6
Mason Schreck,Buffalo,TE,1993.841096
Hayden Hurst,South Carolina,TE,1993.643836
Mike Gesicki,Penn State,TE,1995.753425
Dallas Goedert,South Dakota State,TE,1995.005479
Mark Andrews,Oklahoma,TE,1995.679452
Jordan Akins,Central Florida,TE,1992.29589
Ian Thomas,Indiana,TE,1996.427397
Chris Herndon,Miami (FL),TE,1996.145205
Will Dissly,Washington,TE,1996.515068
