Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Jamie Rheem,K,Kansas State,College Stats,6-1,192,,,,,,,
Karon Riley,DE,Minnesota,College Stats,6-2,264,4.75,,,,,,Chicago Bears / 4th / 103rd pick / 2001
David Rivers,QB,West. Carolina,,6-3,223,4.73,31.5,,115,7.37,4.2,
Marcellus Rivers,TE,Oklahoma State,College Stats,6-4,247,4.84,32.5,7,113,7.04,4.25,
Mike Roberg,TE,Idaho,College Stats,6-4,256,4.75,34.5,16,117,7.28,4.4,Carolina Panthers / 7th / 227th pick / 2001
Bernard Robertson,OG,Tulane,,6-3,308,5.24,30,19,106,8.06,4.58,Chicago Bears / 5th / 138th pick / 2001
Koren Robinson,WR,North Carolina State,College Stats,6-1,211,4.61,,,,,,Seattle Seahawks / 1st / 9th pick / 2001
Kendrick Rogers,OT,Central Missouri State,,6-5,311,5.16,,23,,,,
Shaun Rogers,DT,Texas,,6-4,320,5.28,,,,,,Detroit Lions / 2nd / 61st pick / 2001
Sage Rosenfels,QB,Iowa State,College Stats,6-4,228,4.74,34,,107,7.07,4.29,Washington Redskins / 4th / 109th pick / 2001
Jace Sayler,DT,Michigan State,,6-5,294,5.06,31,29,105,7.81,4.59,
John Schlecht,DT,Minnesota,,6-0,295,4.95,31.5,27,101,7.45,4.3,
Aaron Schobel,DE,TCU,College Stats,6-4,263,4.75,38,,119,7.16,4.03,Buffalo Bills / 2nd / 46th pick / 2001
Carey Scott,CB,Kentucky State,,5-11,208,4.65,30,,113,7.52,4.18,Minnesota Vikings / 6th / 189th pick / 2001
Cedric Scott,DE,Southern Miss,College Stats,6-6,281,4.86,35.5,23,107,7.67,4.37,New York Giants / 4th / 114th pick / 2001
Anthony Sessions,OLB,Tennessee,,6-0,228,4.8,,19,,,,
Richard Seymour,DT,Georgia,,6-6,299,4.95,,,,,,New England Patriots / 1st / 6th pick / 2001
Roland Seymour,DE,Florida State,,6-3,250,4.75,,,,,,
Marcel Shipp,RB,Massachusetts,,5-11,222,4.71,32.5,18,115,,,
Elliot Silvers,OT,Washington,,6-7,348,5.43,31.5,19,99,7.81,4.66,San Diego Chargers / 5th / 132nd pick / 2001
Rickie Simpkins,DT,Syracuse,,6-3,287,5.28,29.5,,97,7.65,4.52,
Dwight Smith,CB,Akron,College Stats,5-10,212,4.51,33.5,15,114,,,Tampa Bay Buccaneers / 3rd / 84th pick / 2001
Justin Smith,DE,Missouri,College Stats,6-4,267,4.64,34,26,117,,,Cincinnati Bengals / 1st / 4th pick / 2001
Kenny Smith,DT,Alabama,College Stats,6-3,299,5.24,30,,100,8,4.8,New Orleans Saints / 3rd / 81st pick / 2001
Omar Smith,OG,Kentucky,,6-2,293,5.33,30,21,98,,,
Steve Smith,WR,Utah,College Stats,5-9,184,4.41,38.5,,121,7.44,4.25,Carolina Panthers / 3rd / 74th pick / 2001
Fred Smoot,CB,Mississippi State,College Stats,5-11,172,4.48,,,,,,Washington Redskins / 2nd / 45th pick / 2001
Brandon Spoon,ILB,North Carolina,,6-2,245,4.75,35.5,33,110,7.3,4.15,Buffalo Bills / 4th / 110th pick / 2001
Markus Steele,OLB,USC,,6-3,232,4.62,33,,119,7.15,4.5,Dallas Cowboys / 4th / 122nd pick / 2001
Kevin Stemke,P,Wisconsin,College Stats,6-2,187,,,,,,,
Daleroy Stewart,DT,Southern Miss,,6-3,309,4.9,33,,110,7.75,4.72,Dallas Cowboys / 6th / 171st pick / 2001
Russell Stewart,TE,Stanford,College Stats,6-4,251,4.92,28.5,17,106,7.46,4.3,
Tony Stewart,TE,Penn State,College Stats,6-5,256,4.96,35.5,,109,7.3,4.4,Philadelphia Eagles / 5th / 147th pick / 2001
Kris Stockton,K,Texas,College Stats,5-9,189,,,,,,,
Michael Stone,CB,Memphis,College Stats,5-11,191,4.51,41,17,127,,,Arizona Cardinals / 2nd / 54th pick / 2001
Marcus Stroud,DT,Georgia,,6-6,321,5.13,30,21,110,8.07,4.72,Jacksonville Jaguars / 1st / 13th pick / 2001
Tim Stuber,OG,Colorado State,,6-5,315,5.6,28,22,96,8.06,4.75,
Dan Stultz,K,Ohio State,College Stats,5-11,207,,,,,,,
Alex Sulfsted,OG,Miami (OH),,6-4,312,5.3,30.5,,96,,,Kansas City Chiefs / 6th / 176th pick / 2001
Marques Sullivan,OT,Illinois,,6-5,338,5.32,30.5,28,98,8.36,4.8,Buffalo Bills / 5th / 144th pick / 2001
Vinny Sutherland,WR,Purdue,College Stats,5-9,192,4.48,,,,,,Atlanta Falcons / 5th / 136th pick / 2001
Joe Tafoya,DE,Arizona,,6-4,269,4.91,33,28,111,7.65,4.4,Tampa Bay Buccaneers / 7th / 234th pick / 2001
Chris Taylor,WR,Texas A&M,College Stats,5-11,183,4.4,35.5,,115,6.81,3.93,Pittsburgh Steelers / 7th / 218th pick / 2001
David Terrell,WR,Michigan,College Stats,6-3,213,4.43,,,,,,Chicago Bears / 1st / 8th pick / 2001
Anthony Thomas,RB,Michigan,College Stats,6-2,229,4.58,32.5,20,115,7.48,4.44,Chicago Bears / 2nd / 38th pick / 2001
Clevan Thomas,CB,Florida State,College Stats,5-9,189,4.64,36,,118,7.42,4.24,
Tarlos Thomas,OT,Florida State,,6-5,336,5.52,25,19,92,8.6,4.9,
LaDainian Tomlinson,RB,TCU,College Stats,5-10,221,4.46,40.5,18,124,6.84,4.21,San Diego Chargers / 1st / 5th pick / 2001
Ja'Mar Toombs,FB,Texas A&M,College Stats,6-0,281,4.72,,17,,,,
Paul Toviessi,DE,Marshall,College Stats,6-6,260,4.78,33.5,,120,7.06,4.32,Denver Broncos / 2nd / 51st pick / 2001
Albert Traylor,OG,NW State (LA),,6-3,307,5.42,27,20,96,8.34,,
Marques Tuiasosopo,QB,Washington,College Stats,6-1,223,4.71,35.5,,115,7.36,4.35,Oakland Raiders / 2nd / 59th pick / 2001
T.J. Turner,ILB,Michigan State,,6-3,273,4.8,,,,,,New England Patriots / 7th / 239th pick / 2001
Chris Valletta,OG,Texas A&M,,6-3,299,5.32,33.5,18,98,7.9,4.53,
Patrick Venzke,OT,Idaho,,6-6,303,5.28,34,,103,8.08,4.59,
Michael Vick,QB,Virginia Tech,College Stats,6-0,210,4.33,,,,,,Atlanta Falcons / 1st / 1st pick / 2001
Keydrick Vincent,OG,Mississippi,,6-5,328,5.61,32.5,23,94,,,
Fred Wakefield,DE,Illinois,College Stats,6-7,287,5.09,29,26,108,7.49,4.64,
Kenyatta Walker,OT,Florida,,6-5,311,5.17,31.5,24,109,7.7,4.6,Tampa Bay Buccaneers / 1st / 14th pick / 2001
Raymond Walls,CB,Southern Miss,College Stats,5-11,176,4.51,39,,124,,4.18,Indianapolis Colts / 5th / 152nd pick / 2001
Chad Ward,OG,Washington,,6-4,321,5.23,32.5,26,99,7.98,4.9,Jacksonville Jaguars / 6th / 170th pick / 2001
David Warren,DE,Florida State,College Stats,6-2,253,4.73,,21,,7.53,4.46,
Gerard Warren,DT,Florida,,6-4,325,5,,,,,,Cleveland Browns / 1st / 3rd pick / 2001
Reggie Wayne,WR,Miami (FL),College Stats,6-0,198,4.45,,,,,,Indianapolis Colts / 1st / 30th pick / 2001
Chris Weinke,QB,Florida State,College Stats,6-4,226,5.2,,,,,,Carolina Panthers / 4th / 106th pick / 2001
Eric Westmoreland,OLB,Tennessee,College Stats,6-0,236,4.63,36.5,21,115,7.47,4.21,Jacksonville Jaguars / 3rd / 73rd pick / 2001
Emile White,S,Houston,College Stats,6-0,219,4.68,34.5,16,111,7.26,,
Reggie White,RB,Oklahoma State,College Stats,6-0,228,4.58,37.5,17,114,7.48,4.4,
James Whitley,CB,Michigan,College Stats,5-10,193,4.73,39,9,118,7.04,4.4,
Boo Williams,TE,Arkansas,College Stats,6-4,237,4.72,35.5,,119,7.1,4.33,
Brock Williams,CB,Notre Dame,College Stats,5-10,183,4.46,42.5,11,130,6.7,4.21,New England Patriots / 3rd / 86th pick / 2001
Jimmy Williams,CB,Vanderbilt,College Stats,5-10,188,4.58,36,,120,7.12,,Buffalo Bills / 6th / 196th pick / 2001
Louis Williams,OG,LSU,,6-4,299,5.48,28.5,25,103,7.86,4.67,Carolina Panthers / 7th / 211th pick / 2001
Marcus Williams,WR,Washington State,College Stats,6-5,230,4.56,41,,130,7.37,4.2,
Maurice Williams,OT,Michigan,,6-5,304,5.2,,24,,,,Jacksonville Jaguars / 2nd / 43rd pick / 2001
Cedrick Wilson,WR,Tennessee,College Stats,5-10,179,4.48,38,,123,,,San Francisco 49ers / 6th / 169th pick / 2001
Jamie Winborn,ILB,Vanderbilt,,5-11,229,4.63,35.5,,111,,,San Francisco 49ers / 2nd / 47th pick / 2001
Brandon Winey,OT,LSU,,6-6,301,5.3,,,,,,Miami Dolphins / 6th / 164th pick / 2001
Pork Chop Womack,OG,Mississippi State,,6-4,345,5.51,29.5,23,97,8.78,4.96,
Shawn Worthen,DT,TCU,,6-1,310,5.18,30,23,103,7.5,4.61,Minnesota Vikings / 4th / 130th pick / 2001
Ellis Wyms,DE,Mississippi State,College Stats,6-3,285,4.97,28,,103,7.71,4.47,Tampa Bay Buccaneers / 6th / 183rd pick / 2001
Paul Zukauskas,OG,Boston Col.,College Stats,6-5,307,5.3,,22,,,,Cleveland Browns / 7th / 203rd pick / 2001
